bank_account,0,"['donate', 'information', 'photo', 'shared', 'share', 'teamkeke', 'wanting', 'town', '5318430526', 'reach', 'felton', 'supporters', 'kenya', '10']"
bank_account,1,"['union', 'balance', '100', 'hit', 'quick', 'negative', 'brother']"
bank_account,2,"['dollars', 'told', 'days']"
bank_account,3,"['inbox', 'banke', 'interested', 'asap', 'making', 'federal', 'navy']"
bank_account,4,"['shit', 'lol', 'fuck', 'work', 'morning']"
bank_account,5,"['opening', 'let', 'banking', 'online', 'customers']"
bank_account,6,"['fees', 'customer', 'year', 'time', 'business', 'years', 'service', 'funds', 'big']"
bank_account,7,"['family', 'donations', 'does', 'opened', 'friends', 'set', 'funeral']"
bank_account,8,"['going', 'debit', 'rebanke', 'use', 'hacked', 'charges', 'think']"
bank_account,9,"['phone', 'scam', 'received', 'info', 'saying', 'text', 'called', 'security', 'email']"
bank_robbery,0,"['woman', 'robber', 'place', 'miami', 'person', 'alleged', 'new', 'took', 'hotel']"
bank_robbery,1,"['information', 'department', 'wanted', 'caught', 'phone', 'seek', 'involved', 'update', 'publics', 'asked']"
bank_robbery,2,"['investigate', 'south', 'near', 'friday', 'charlotte', 'inside', '30', 'taken']"
bank_robbery,3,"['wednesday', 'following', 'road', 'city', 'investigating', 'shot', 'custody', 'block', 'officers', 'boulevard', 'said']"
bank_robbery,4,"['searching', 'street', 'county', 'office', 'beach', 'say', 'sought', 'main']"
bank_robbery,5,"['armed', 'reported', 'attempted', 'avenue', 'north', 'scene', 'rob', 'cops', 'lexington', 'time', 'going', 'right', 'identified']"
bank_robbery,6,"['today', 'photos', 'occurred', 'video', 'creek', 'vehicle', 'black', 'charges', 'breaking', 'amarillo', '10', 'seen']"
bank_robbery,7,"['robbing', 'connection', 'monday', 'old', 'township', 'suspected', 'allegedly', 'arrest', '20', 'saturday']"
bank_robbery,8,"['photo', 'mansfield', 'released', 'surveillance', 'shared', 'suspects', 'yesterday', 'finding', 'downtown']"
bank_robbery,9,"['twit_hndl', 'incident', 'ave', 'asking', 'identifying', 'teller', 'alert', 'nyc', 'called', 'mapusemergalerts']"
checking_account,0,"['card', 'debit', 'credit', 'said', 'number', 'atm', 'week', 'use']"
checking_account,1,"['fee', 'monthly', 'balance', 'charging', '25', 'charged', 'having', 'checking', '12']"
checking_account,2,"['direct', 'say', 'opening', 'does', 'student', 'bonus']"
checking_account,3,"['savings', 'customers', 'didnt', 'change', 'think', 'rebanke', 'people']"
checking_account,4,"['service', 'payment', 'phone', 'loan', 'person', 'deal', 'car', 'cents', 'later']"
checking_account,5,"['thank', 'years', 'fraud', 'called', 'work', 'days', 'love', 'getting', 'taken']"
checking_account,6,"['cash', 'time', 'good', 'went', 'transfer', 'taking', 'closing', 'personal', 'mortgage', 'banks']"
checking_account,7,"['help', 'know', 'let', 'come', 'look', 'sure', 'way', 'right', 'youre', 'cards']"
checking_account,8,"['year', 'old', '30', 'hard', 'set', 'paid', 'ad', 'things', 'favorite', 'problem']"
checking_account,9,"['check', 'morning', 'closed', 'did', 'online', 'checks', 'banke', 'hold', 'yesterday', 'tell']"
credit_card,0,"['old', 'introduce', 'india', '10k', 'banking', 'instant', 'indian', 'federal', 'branch', 'usa', 'foreign', 'mr', 'limit']"
credit_card,1,"['payment', 'years', 'paid', 'mail', 'days', 'didnt', 'paying', 'late']"
